id	year	text	label	language	region	canton	legal area	source_language
70673	2020	"Sachverhalt: A. A.a. Das Schweizer Fernsehen SRF strahlte am 25. September 2018 im Rahmen der wöchentlichen Sendung ""Club"" auf SRF 1 eine Ausgabe zum Thema ""Mein Arzt, mein Sterbehelfer?"" aus. Laut Begleittext auf der Website von SRF (Play SRF) ging es in der Sendung um Folgendes: ""Gehört Beihilfe zu Suizid zu den Aufgaben des Arztes? Ja, sagen die neuen ethischen Richtlinien. Jeder, der ""unerträglich leidet"" soll neu Anspruch auf Sterbehilfe haben. Das stellt vor allem Vertrauensärzte vor ein Dilemma. Kommt der Tod auf Bestellung?"" Unter der Leitung der Moderatorin Barbara Lüthi diskutierten E._ (freiberuflicher Publizist und Buchautor), F._ (Hausärztin und Sterbebegleiterin; Präsidentin der Stiftung ""Y._"" und des Vereins ""Z._""), G._ (Ethiker, Ethikkommission der Schweizerischen Akademie der Medizinischen Wissenschaften [SAMW], Geriater am Universitätsspital Zürich), H._ (Hausarzt, Präsident der Ärztegesellschaft Kanton Zürich), I._ (Hausarzt), K._ (Psychiater und Psychotherapeut, Präsident der Hippokratischen Gesellschaft Schweiz, Präsident der Alzheimervereinigung Graubünden). Am 29. September 2018 wurde die Sendung als Wiederholung noch einmal auf SRF Info ausgestrahlt. A.b. Mit Eingabe vom 3. Januar 2019 erhoben der Verein X._, A._, B._, C._ (alle drei Vorstandsmitglieder) und D._ (Geschäftsführer) Beschwerde bei der Unabhängigen Beschwerdeinstanz für Radio und Fernsehen (UBI) gegen die erwähnte Ausstrahlung. Sie beantragten, es sei festzustellen, dass die beanstandete Sendung die Mindestanforderungen an den Programminhalt gemäss Bundesgesetz vom 24. März 2006 über Radio und Fernsehen (RTVG; SR 784.40) nicht erfüllt habe. Sie rügten die ungenügende Einführung in das Thema, den irreführenden Titel, die numerische Untervertretung und die wesentlich geringere Sendezeit der Gegner des ärztlich assistierten Suizids, die Nichteinhaltung der erhöhten Sorgfaltspflichten aufgrund der bevorstehenden Abstimmung in der Ärztekammer, die mangelnde Transparenz über die Mitgliedschaft von G._ bei der Ethikkommission der Sterbehilfeorganisation Exit, unzulässige Schleichwerbung zu Gunsten von Büchern mit einer befürwortenden Haltung zum ärztlich assistierten Suizid und die Missachtung von Präventionshinweisen. B. Mit Entscheid vom 7. Juni 2019 wies die UBI die Beschwerde ab, soweit sie darauf eintrat. Sie führte aus, weder der Verein X._ noch die vier Beschwerde führenden Mitglieder erfüllten die Voraussetzungen für eine Beschwerde im Sinne von Art. 94 Abs. 1 RTVG. Sie nahm jedoch die mit den notwendigen Unterschriften von Unterstützenden eingereichte Eingabe von A._, B._, C._ und D._ als Popularbeschwerde gemäss Art. 94 Abs. 2 und 3 RTVG entgegen. Soweit die Betroffenen in ihrer Eingabe auch die Sendungsankündigung auf der Website vom 25. September 2018 beanstandeten, trat die UBI auf die Beschwerde nicht ein, mit der Begründung, diesbezüglich sei die 20-tägige Beanstandungsfrist gemäss Art. 92 Abs. 2 RTVG nicht eingehalten worden. C. Gegen den Entscheid der UBI vom 7. Juni 2019 erheben der Verein X._, A._, B._, C._ und D._ mit Eingabe vom 16. September 2019 (Postaufgabe) Beschwerde in öffentlich-rechtlichen Angelegenheiten an das Bundesgericht. Sie beantragen, der angefochtene Entscheid sei aufzuheben und es sei festzustellen, dass die Sendung ""Club"": ""Mein Arzt, mein Sterbehelfer?"" vom 29. September 2018 die Mindestanforderungen an den Programminhalt gemäss Art. 4 RTVG verletzt habe. Die UBI schliesst auf Abweisung der Beschwerde und verzichtet im Übrigen auf Stellungnahme. Die Schweizerische Radio- und Fernsehgesellschaft SRG beantragt in ihrer Stellungnahme die Abweisung der Beschwerde, soweit darauf eingetreten werde. Ferner beantragt sie, es sei festzustellen, dass die Sendung ""Club"" vom 29. September 2018 kein Bundesrecht und namentlich nicht das Sachgerechtigkeitsgebot sowie Art. 4 Abs. 1 der Radio- und Fernsehverordnung vom 9. März 2007 (RTVV; SR 784.401) betreffend eine Kennzeichnung für jugendgefährdende Sendungen verletzt habe. Die Beschwerdeführer haben repliziert. Die SRG hat dupliziert. "	0	de	n/a	n/a	public law	n/a
61255	2018	Sachverhalt: A. In einem vor dem Bezirksgericht Dietikon geführten Eheschutzverfahren wurde A._ (Beschwerdeführer) als unentgeltlicher Rechtsvertreter der Gesuchstellerin eingesetzt. Am 27. Oktober 2017 setzte das Bezirksgericht das Honorar von A._ auf Fr. 5'750.-- fest. Zuzüglich Auslagen von Fr. 182.70 und Mehrwertsteuern ergab dies eine Entschädigung von Fr. 6'407.30. B. Die von A._ hiergegen erhobene Beschwerde wies das Obergericht des Kantons Zürich mit Urteil vom 16. Januar 2018 (eröffnet am 25. Januar 2018) ab. C. Am 26. Februar 2018 gelangt A._ mit subsidiärer Verfassungsbeschwerde an das Bundesgericht. Er beantragt, es sei ihm in Aufhebung des Urteils des Obergerichts für sein Amt als unentgeltlicher Rechtsvertreter eine Entschädigung von Fr. 6'974.-- zuzüglich Auslagen von Fr. 182.70 sowie Mehrwertsteuern von 8 % auszurichten. Eventuell sei die Angelegenheit zur Neufestsetzung der Entschädigung an das Obergericht zurückzuweisen. Das Bundesgericht hat die Akten des kantonalen Verfahrens, indessen keine Vernehmlassungen eingeholt. 	0	de	Zürich	zh	civil law	n/a
57013	2017	Sachverhalt: A. X._ geriet am 14. Juni 2013 ohne gültige Fahrkarte in eine Fahrausweiskontrolle in der Zürcher S-Bahn. Ihm wird ein renitentes Verhalten gegenüber den Kontrolleuren und Sicherheitsangestellten vorgeworfen. So habe er sich trotz Aufforderung nicht ausgewiesen, sei beim Bahnhof Küsnacht Goldbach ausgestiegen und habe versucht, den Bahnhof zu verlassen. Dabei habe er unter anderem einen ihm im Weg stehenden Sicherheitsangestellten gestossen, um sich der Kontrolle zu entziehen. B. Das Obergericht des Kantons Zürich sprach X._ am 2. Mai 2016 im Berufungsverfahren gegen ein Urteil des Bezirksgerichts Meilen vom 2. Juni 2015 zweitinstanzlich der Gewalt und Drohung gegen Behörden und Beamte schuldig. Es erkannte auf eine bedingte Geldstrafe von 60 Tagessätzen zu Fr. 160.-- bei einer Probezeit von zwei Jahren. C. X._ führt Beschwerde in Strafsachen. Er beantragt, das Urteil des Obergerichts sei aufzuheben, und er sei von Schuld und Strafe freizusprechen. Eventualiter sei die Sache zur Neubeurteilung an die Vorinstanz zurückzuweisen. Zudem ersucht er um aufschiebende Wirkung. 	0	de	Zürich	zh	penal law	n/a
63862	2018	"Sachverhalt: A. A._, geboren 1955, war als Angestellter der B._ AG seit dem 14. Januar 2015 bei der C._ AG beschäftigt und bei der Schweizerischen Unfallversicherungsanstalt (Suva) für die Folgen von Berufs- und Nichtberufsunfällen sowie Berufskrankheiten versichert. Am 9. März 2015 zog er mit einem Kollegen einen ""Palettrolli"". Der ""Palettrolli"" blieb bei einer Schwelle stecken. Der Kollege und ein weiterer Mitarbeiter schoben den ""Rolli"" an, worauf A._ rückwärts mit der Schulter gegen einen Container fiel. A._ wurde in die Notfallstation des Spitals J._ gebracht, wo er über Schmerzen im Lendenwirbelbereich rechts sowie in der rechten Schulter klagte. Eine halbe Stunde nach dem Unfall sei zudem ein Taubheitsgefühl in den Fingern der rechten Hand aufgetreten. Die Röntgenbilder der Hals- und Brustwirbelsäule sowie der rechten Schulter zeigten keine Brüche. An der rechten Schulter sowie am Thorax rechts fanden sich ein leichtes Hämatom und eine leichte Schwellung. Die Ärzte empfahlen, den Spontanverlauf abzuwarten und bei einer Symptomresistenz über mehr als drei Wochen einen Neurologen aufzusuchen. Sie bescheinigten eine Arbeitsunfähigkeit für zwei Tage (Bericht vom 10. März 2015). Gemäss Bericht des Hausarztes Dr. med. D._, allgemeine innere Medizin FMH, vom 16. April 2015 hatte A._ seine Arbeit noch nicht wieder aufnehmen können. Die Suva lud ihn deshalb zu einer kreisärztlichen Untersuchung am 30. April 2015 ein. Dr. med. E._, Orthopädie und Unfallchirurgie FMH, stellte dabei die Verdachtsdiagnose eines unfallfremden Karpaltunnelsyndroms an der rechten Hand. Am 9. Juni 2015 erfolgte eine neurologische (einschliesslich elektroneuromyographischer) Untersuchung durch Dr. med. F._, Neurologie FMH. Er diagnostizierte ein posttraumatisches Karpaltunnelsyndrom. Am gleichen Tag nahm Dr. med. E._ dazu Stellung und bestätigte seine Einschätzung, dass das Karpaltunnelsyndrom nicht durch das Unfallereignis verursacht worden sei. Am 25. Juni 2015 nahm Dr. med. G._, Chirurgie und Unfallchirurgie FMH, eine Dekompression des Nervus medianus rechts im Karpaltunnel vor (Berichte vom 22. und vom 25. Juni 2015 sowie vom 8. Juli 2015). Mit Verfügung vom 4. August 2015 schloss die Suva den Fall per 8. Juni 2015 ab und lehnte ihre Leistungspflicht für die durch das Karpaltunnelsyndrom bedingten Handgelenksbeschwerden und den deswegen am 25. Juni 2015 erfolgten Eingriff ab. Daran hielt sie - gestützt auf die Beurteilung ihrer Abteilung Versicherungsmedizin, Frau Dr. med. H._, Fachärztin für Neurologie, vom 14. Februar 2017 - auf Einsprache hin fest (Einspracheentscheid vom 20. Februar 2017). B. Die dagegen erhobene Beschwerde hiess das Sozialversicherungsgericht des Kantons Basel-Stadt mit Entscheid vom 29. August 2017 gut. Es hob den Einspracheentscheid vom 20. Februar 2017 auf und verpflichtete die Suva, über den 8. Juni 2015 hinaus die gesetzlichen Leistungen zu erbringen. C. Die Suva führt Beschwerde in öffentlich-rechtlichen Angelegenheiten mit dem Antrag, der angefochtene Entscheid sei aufzuheben und der Einspracheentscheid vom 20. Februar 2017 sei zu bestätigen. Eventualiter sei die Sache an die Vorinstanz zurückzuweisen. A._ lässt auf Abweisung der Beschwerde schliessen. Das Bundesamt für Gesundheit verzichtet auf eine Vernehmlassung. "	1	de	Northwestern Switzerland	bs	social law	n/a
70739	2020	Sachverhalt: A. A.a. Der 1984 geborene deutsche Staatsangehörige A._ reiste am 6. Juni 2011 erstmals in die Schweiz ein, worauf er am 15. Juni 2011 eine Kurzaufenthaltsbewilligung EU/EFTA und am 1. Dezember 2012 eine Aufenthaltsbewilligung EU/EFTA zwecks unselbständiger Erwerbstätigkeit erhielt. Letztere erlosch Ende 2013, weil er sich während mehr als sechs Monaten nicht in der Schweiz aufgehalten hatte. Am 31. Juli 2017 meldete sich A._, unter Vorlage eines ab 1. August 2017 gültigen Arbeitsvertrages mit einem Restaurant/Lieferservice in U._, erneut in der Schweiz an. A.b. Bis zu diesem Zeitpunkt war A._ insbesondere wie folgt strafrechtlich verurteilt worden: - mit jugendstrafrechtlicher Verwarnung durch das Amtsgericht Worms (D) vom 1. Juli 1999 wegen Diebstahls in Tatmehrheit mit vorsätzlicher Körperverletzung; - mit Strafbefehl des Amtsgerichts Erkelenz (D) vom 11. Februar 2005 wegen vorsätzlichen Fahrens ohne Fahrererlaubnis zu einer Geldstrafe von 25 Tagessätzen à EUR 10.--; - mit Strafbefehl des Amtsgerichts Mannheim (D) vom 27. Juni 2007 wegen fahrlässiger Gefährdung des Strassenverkehrs zu einer Geldstrafe von 60 Tagessätzen à EUR 40.--; - mit Strafbefehl des Amtsgerichts Worms (D) vom 7. Januar 2008 wegen versuchten Einbruchdiebstahls zu einer Geldstrafe von 120 Tagessätzen à EUR 10.--; - mit Urteil des Amtsgerichts Landau in der Pfalz (D) vom 2. Juni 2008 wegen schweren Bandendiebstahls in teilweiser Tatmehrheit mit gemeinschaftlichem Diebstahl zu einer Freiheitsstrafe von zwei Jahren und zehn Monaten; - mit Urteil des Landgerichts Mainz (D) vom 26. Juni 2008 wegen schweren Bandendiebstahls in Tatmehrheit mit versuchtem schweren Bandendiebstahl in teilweise gemeinschaftlichem Handeln, unter Einbezug des Urteils des Amtsgerichts Landau in der Pfalz (D) vom 2. Juni 2008, zu einer Freiheitsstrafe von drei Jahren und zehn Monaten; - mit Strafbefehl der Staatsanwaltschaft Brugg-Zurzach vom 28. Februar 2013 wegen Überschreitens der Höchstgeschwindigkeit innerorts zu einer Busse von Fr. 400.--; - mit Strafbefehl des Amtsgerichts Staufen im Breisgau (D) vom 14. März 2013 wegen vorsätzlichen Besitzes und Führens einer verbotenen Waffe zu einer Geldstrafe von 15 Tagessätzen à EUR 20.--; - mit Strafbefehl der Staatsanwaltschaft Lenzburg-Aarau vom 17. Juli 2013 wegen Missachtens der signalisierten Höchstgeschwindigkeit auf der Autobahn zu einer Busse von Fr. 260.--; - mit Urteil des Landgerichts Rottweil (D) vom 20. Februar 2014 wegen schweren Bandendiebstahls, Diebstahls und versuchten Diebstahls zu einer Freiheitsstrafe von vier Jahren und sechs Monaten. A.c. Am 9. Mai 2018 stellte das Amt für Migration und Integration Aargau (nachfolgend: Migrationsamt) A._ unter Verweis auf seine Straffälligkeit die Verweigerung der Aufenthaltsbewilligung und die Wegweisung aus der Schweiz in Aussicht und gewährte ihm das rechtliche Gehör. B. Mit Verfügung vom 19. Juli 2018 lehnte das Migrationsamt das Gesuch von A._ um Erteilung einer Aufenthaltsbewilligung ab und wies ihn an, die Schweiz innerhalb von 30 Tagen nach deren Rechtskraft zu verlassen. Eine gegen diese Verfügung erhobene Einsprache von A._ wies das Migrationsamt mit Entscheid vom 22. November 2018 ab. Die dagegen erhobene Beschwerde wies das Verwaltungsgericht des Kantons Aargau, 2. Kammer, mit Urteil vom 5. Dezember 2019 ab. C. Mit Eingabe vom 27. Januar 2020 (Postaufgabe) reicht A._ Beschwerde in öffentlich-rechtlichen Angelegenheiten beim Bundesgericht ein. Er beantragt, das angefochtene Urteil sei vollumfänglich aufzuheben und sein Gesuch um Erteilung einer Aufenthaltsbewilligung zur unselbständigen Erwerbstätigkeit sei gutzuheissen. Eventualiter sei die Sache mit der Anweisung, ihm eine Aufenthaltsbewilligung zur unselbständigen Erwerbstätigkeit zu erteilen, an die kantonalen Behörden zurückzuweisen. Das Bundesgericht hat die vorinstanzlichen Akten eingeholt. Mit Verfügung vom 29. Januar 2020 hat der Präsident der II. öffentlich-rechtlichen Abteilung des Bundesgerichts der Beschwerde antragsgemäss die aufschiebende Wirkung zuerkannt. 	0	de	Northwestern Switzerland	ag	public law	n/a
59725	2017	Sachverhalt: A. A._ veräusserte am 21. Februar 2011 seine Eigentumswohnung an der C._-Strasse in B._ (ZH) zu einem Preis von Fr. 1'850'000.--. Per 15. Februar 2011 hatte er seinen Wohnsitz nach D._ (GR) verlegt, wo er am E._-Weg eine Liegenschaft für Fr. 5'250'000.-- erworben hatte. Aufgrund der Reinvestition des Erlöses in ein gleichgenutztes Ersatzobjekt wurde die Grundstückgewinnsteuer mit Veranlagungsentscheid der Grundsteuerbehörde B._ vom 25. Mai 2011 infolge Ersatzbeschaffung aufgeschoben. Am 31. Dezember 2012 verlegten A._ und seine Ehefrau ihren Hauptwohnsitz nach Grossbritannien. Mit Nachsteuerverfügung vom 17. Dezember 2014 auferlegte die Grundsteuerbehörde B._ A._ eine Grundstückgewinnsteuer von Fr. 221'942.-- (zuzüglich Zins von Fr. 11'892.40 seit dem 91. Tag nach der Handänderung), da die Voraussetzungen für die Gewährung des Steueraufschubs mit dem Wegzug nicht mehr erfüllt seien. B. Die Grundsteuerbehörde B._ bestätigte mit Verfügung vom 7. Mai 2015 die Veranlagung der Grundstückgewinnsteuer. Gegen diesen Entscheid erhob A._ Rekurs, welcher vom Steuerrekursgericht am 28. Oktober 2015 ebenfalls abgewiesen wurde. In der Folge gelangte A._ an das Verwaltungsgericht. Dieses wies die Beschwerde mit Urteil vom 17. Februar 2016 ab. C. A._ legt mit Eingabe vom 8. April 2016 Beschwerde in öffentlich-rechtlichen Angelegenheiten an das Bundesgericht ein. Er beantragt, das Urteil des Verwaltungsgerichts sei aufzuheben und von der Erhebung der Grundstückgewinnsteuer sei abzusehen. Die Gemeinde B._ beantragt die Abweisung der Beschwerde. Das kantonale Steueramt Zürich sowie das Verwaltungsgericht des Kantons Zürich stellen den Antrag, die Beschwerde sei abzuweisen, soweit darauf einzutreten ist. A._ nimmt zum Vernehmlassungsergebnis abschliessend Stellung und hält an seinen Rechtsbegehren fest. 	1	de	Zürich	zh	public law	n/a
59270	2017	Sachverhalt: A. Das Bezirksgericht Willisau sprach am 16. Oktober 2015 X._ vom Vorwurf der unerlaubten Selbsthilfe (§ 31 UeStG/LU) frei und der versuchten Nötigung i.S.v. Art. 181 i.V.m. Art. 22 Abs. 1 StGB schuldig. Es verurteilte ihn zu einer bedingten Geldstrafe von 20 Tagessätzen zu Fr. 80.--. X._ erhob Berufung. Das Kantonsgericht des Kantons Luzern bestätigte am 9. Dezember 2016 das bezirksgerichtliche Urteil. B. X._ beantragt mit Beschwerde in Strafsachen [sinngemäss], (1) das vorinstanzliche Urteil aufzuheben und die Vorinstanz anzuweisen, primär unter Anordnung der beantragten Beweismittel (Sicherstellung der Zylinder, Expertise über das Aufbohren aller Zylinder), eventuell ohne weitere Beweisabnahmen und subeventuell unter Anweisung zur Urteilsaufhebung durch die Vorinstanz ihn von Schuld und Strafe freizusprechen, und zwar jeweils mit Entbindung von den Kostenpflichten jeglicher Art auf allen Verfahrensstufen, insbesondere von Verfahrenskosten und Parteientschädigungen; (2) der Beschwerde die aufschiebende Wirkung zu erteilen; (3) unter Kosten- und Entschädigungsfolgen zulasten des Kantons, eventuell der Privatkläger. 	0	de	Central Switzerland	lu	penal law	n/a
60996	2018	Sachverhalt: A. A.a. Am 26. November 2012 beschloss die Einwohnergemeindeversammlung Bergdietikon den Verkauf der in der Zone für öffentliche Bauten und Anlagen Kindhausen gelegenen Liegenschaft Nr. 362 zum Preis von Fr. 4'390'750.-- an die Oase Holding AG Wohnen im Alter. Diese plant darauf den Bau und Betrieb eines Alters- und Pflegezentrums. A.b. An der Gemeindeversammlung vom 29. Juni 2015 stellte Armin Sommer den Antrag, den Vorvertrag mit der Oase Holding AG vom 17. Dezember 2012 aufzulösen und den Gemeinderat im Wesentlichen zu beauftragen, unter Mitwirkung der lokalen Organisationen und Interessengruppen ein eigenes Alterskonzept zu erstellen. Dieser Antrag wurde mit 75 Ja- gegen 61 Nein-Stimmen angenommen und an den Gemeinderat zu Bericht und Antrag überwiesen. A.c. Die Einladung an die Einwohnergemeindeversammlung vom 20. Juni 2016 sah unter dem Traktandum 12 eine Abstimmung über den Antrag auf Wiedererwägung des Gemeindeversammlungsbeschlusses vom 26. November 2012 vor. Der Gemeinderat beantragte, diesen Antrag abzulehnen. Er hielt dazu fest, dass bei einer Ablehnung das Traktandum abgeschlossen sei und keine weiteren Abstimmungen stattfänden; bei einer Annahme des Wiedererwägungsantrags sei in der Sache nochmals über den Verkauf der fraglichen Liegenschaft an die Oase Holding AG Wohnen im Alter zum gleichen Preis abzustimmen, wobei der Gemeinderat diesen Verkauf weiterhin beantrage; werde diesfalls der Verkauf genehmigt, bleibe es beim Beschluss vom 26. November 2012; werde er hingegen abgelehnt, sei der entsprechende Vorvertrag aufzulösen und es sei allenfalls in der Folge über eventuelle Schadenersatzregelungen zu verhandeln. Der Wiedererwägungsantrag wurde von den anwesenden 425 Stimmberechtigten in geheimer Abstimmung mit 194 Ja- gegen 225 Nein-Stimmen bei sechs leeren Stimmzetteln abgelehnt. Im Anschluss an die Abstimmung wies der Gemeindeammann darauf hin, dass dieser Beschluss nicht dem fakultativen Referendum unterstehe. B. B.a. Mit Beschwerde vom 23. Juni 2016 an den Regierungsrat des Kantons Aargau beantragte Urs Künzler im Wesentlichen sinngemäss, den Beschluss der Gemeindeversammlung Bergdietikon vom 20. Juni 2016 über das Traktandum 12 aufzuheben und den Wiedererwägungsantrag an der nächsten Gemeindeversammlung nochmals korrekt der Abstimmung zu unterstellen. Die Beschwerde wurde dem zuständigen Departement Volkswirtschaft und Inneres des Kantons Aargau (DVI) überwiesen. Dieses wies die Beschwerde am 22. Februar 2017 ab. B.b. Dagegen führte Urs Künzler Verwaltungsgerichtsbeschwerde beim Verwaltungsgericht des Kantons Aargau. Mit Urteil vom 15. September 2017 wies dessen 2. Kammer die Beschwerde ab. C. Mit Beschwerde in öffentlich-rechtlichen Angelegenheiten vom 25. Oktober 2017 an das Bundesgericht beantragt Urs Künzler, das Urteil des Verwaltungsgerichts vom 15. September 2017 und den unter Traktandum 12 gefassten Beschluss der Gemeindeversammlung Bergdietikon vom 20. Juni 2016 aufzuheben; eventuell sei die Sache zur Neubeurteilung an das Verwaltungsgericht zurückzuweisen. Zur Begründung wird im Wesentlichen geltend gemacht, der Ablauf der fraglichen Gemeindeversammlung weise massive Unregelmässigkeiten auf, weshalb die Abstimmungsfreiheit von Urs Künzler verletzt sei. Die Einwohnergemeinde Bergdietikon und das Verwaltungsgericht des Kantons Aargau schliessen auf Abweisung der Beschwerde, soweit darauf einzutreten sei. Das Departement Volkswirtschaft und Inneres stellt Antrag auf Abweisung. Urs Künzler äusserte sich am 15. Dezember 2017 nochmals zur Sache. Weitere Eingaben gingen beim Bundesgericht nicht mehr ein. 	0	de	Northwestern Switzerland	ag	public law	n/a
69361	2020	"Sachverhalt: A. A._, geboren 1993, absolvierte in den Jahren 2010 bis 2012 mit Unterstützung der Invalidenversicherung eine erstmalige berufliche Ausbildung als Gärtnereimitarbeiter (Anlehre; heute: Eidg. Berufsattest, EBA). In der Folge war er als Greenkeeper und anschliessend als Gärtner bei verschiedenen Arbeitgebern tätig. Ein Verkehrsunfall vom 29. September 2014, bei dem er sich am linken Knie verletzt hatte, erforderte am 14. September 2016 die arthroskopische Sanierung des Knorpelschadens. Nach erneuter Anmeldung bei der IV-Stelle des Kantons Zürich beantragte A._ anlässlich eines persönlichen Gesprächs die Umschulung zum Fachmann Betreuung EFZ. Mit Schreiben vom 14. Januar 2019 gewährte ihm die IV-Stelle als Frühinterventionsmassnahme Förderkurse vom Dezember 2018 bis Ende Juli 2019. Nach Einholung der neuropsychologischen Abklärung vom 26. Februar 2019 der Psychiatrie B._, und der Beurteilung durch Dr. med. C._, Facharzt für Chirurgie, Regionaler Ärztlicher Dienst (RAD) verneinte die IV-Stelle mit Verfügung vom 30. Juli 2019 einen Anspruch auf Umschulung zum Fachmann Betreuung EFZ. B. Das Sozialversicherungsgericht des Kantons Zürich wies die dagegen erhobene Beschwerde mit Entscheid vom 8. November 2019 ab. C. A._ lässt Beschwerde in öffentlich-rechtlichen Angelegenheiten führen mit dem Antrag, es sei der vorinstanzliche Entscheid aufzuheben und die IV-Stelle zu verpflichten, ihm die geschuldete Unterstützung für die Lehre zum Fachmann Betreuung EFZ zu gewähren. Zudem habe die IV-Stelle die Kosten für den ""Förderkurs Deutsch"" als Frühinterventionsmassnahme zu übernehmen und es sei ihm die unentgeltliche Rechtspflege zu gewähren. Die IV-Stelle schliesst auf Abweisung der Beschwerde. Das Bundesamt für Sozialversicherungen verzichtet auf eine Vernehmlassung. D. Mit Eingabe vom 3. Februar 2020 liess A._ das Zeugnis des 1. Semesters/HE 19 nachreichen. "	0	de	Zürich	zh	social law	n/a
66597	2019	Sachverhalt: A. A.a. A._ (Kläger, Beschwerdeführer) ersuchte mit Gesuch vom 22. September 2017 am Handelsgericht Zürich um Einsetzung eines Sonderprüfers bei der B._ AG (Beklagte, Beschwerdegegnerin). Mit Urteil vom 22. Februar 2018 hiess das Handelsgericht das Begehren in Bezug auf einzelne Sachverhalte gut und setzte in der Folge einen Sonderprüfer ein. Am 10. Januar 2019 legte dieser seinen Bericht vor. Mit Verfügung vom 15. Januar 2019 setzte das Handelsgericht der Beklagten Frist an, um allfällige Einwendungen in Bezug auf geheimhaltungswürdige Stellen im Sinne von Art. 697e Abs. 2 OR gegen den Sonderprüfungsbericht vorzubringen. Die von der Beklagten vorgebrachten Begehren wies das Handelsgericht mit Verfügung vom 31. Januar 2019 ab. Nach Durchführung des Bereinigungsverfahrens stellte das Handelsgericht am 20. März 2019 dem Kläger den Bericht zu. Mit Verfügung vom 16. April 2019 erwog das Handelsgericht, dass das Verfahren mit der Zustellung des Sonderprüfungsberichts seinen Abschluss finde und schrieb das Verfahren nach Art. 242 ZPO ab (Dispositivziffer 1). Es setzte die Gerichtskosten und die Kosten des Sonderprüfers fest (Dispositivziffer 2), auferlegte die Gerichtskosten der Beklagten (Dispositivziffer 3) und verpflichtete die Beklagte, dem Kläger eine Parteientschädigung zu zahlen (Dispositivziffer 4). A.b. Am 18. April 2019 beantragte der Kläger am Handelsgericht, die Abschreibungsverfügung vom 16. April 2019 sei in Wiedererwägung zu ziehen. Den Parteien sei unter anderem Gelegenheit zu geben, zum Bericht des Sonderprüfers Stellung zu nehmen und Ergänzungsfragen zu stellen. Mit Verfügung vom 14. Mai 2019 trat das Handelsgericht auf das Begehren nicht ein. B. Gegen die Abschreibungsverfügung vom 16. April 2019 erhob der Beschwerdeführer Beschwerde in Zivilsachen an das Bundesgericht. Er beantragte, die Dispositivziffer 1 des vorinstanzlichen Entscheids sei aufzuheben und die Sache sei zur Wiederaufnahme des Verfahrens an die Vorinstanz zurückzuweisen. Gleichzeitig ersuchte er, es sei der Beschwerde die aufschiebende Wirkung zu erteilen. Die Vorinstanz verzichtete auf Vernehmlassung. Die Beschwerdegegnerin begehrte, sie sei aus dem Rubrum zu streichen. Sie wolle an diesem Verfahren nicht teilnehmen und keine Parteistellung ausüben. Mit Präsidialverfügung vom 13. Juni 2019 wurde das Gesuch des Beschwerdeführers als solches um vorsorgliche Massnahmen entgegen genommen. Die Abteilungspräsidentin wies das Handelsgericht an (vorab superprovisorisch), bis zum Abschluss des bundesgerichtlichen Verfahrens von einer Wiederaufnahme des parallel laufenden Prozesses betreffend Forderung aus aktienrechtlicher Verantwortlichkeit abzusehen. Sodann wies sie den Antrag der Beschwerdegegnerin ab, sie sei aus dem Rubrum zu streichen. 	1	de	Zürich	zh	civil law	n/a
